epoch,step,train_loss,val_loss
0,15,,0.11294719576835632
1,31,,0.04316607490181923
2,47,,0.03773767501115799
3,49,0.02303471788764,
3,63,,0.03852813318371773
4,79,,0.03833368420600891
5,95,,0.04207117110490799
6,99,0.04518630728125572,
6,111,,0.043585434556007385
7,127,,0.03660811856389046
8,143,,0.03689924255013466
9,149,0.04098454490303993,
9,159,,0.03442372754216194
10,175,,0.03390331566333771
11,191,,0.03326191008090973
12,199,0.044531941413879395,
12,207,,0.03426629677414894
13,223,,0.03302736207842827
14,239,,0.03245599567890167
15,249,0.0272811371833086,
15,255,,0.032625842839479446
16,271,,0.039418671280145645
17,287,,0.04591454938054085
18,299,0.03011206164956093,
18,303,,0.032160401344299316
19,319,,0.04160354658961296
20,335,,0.0334138460457325
21,349,0.04424329847097397,
21,351,,0.03280935809016228
22,367,,0.03233974054455757
23,383,,0.031512342393398285
24,399,0.03174867853522301,
24,399,,0.038918789476156235
25,415,,0.031509894877672195
26,431,,0.03394673392176628
27,447,,0.03332927078008652
28,449,0.04001545533537865,
28,463,,0.032648373395204544
29,479,,0.031981151551008224
30,495,,0.0356573760509491
