epoch,step,train_loss,val_loss
0,3,,3.332186222076416
1,7,,2.315483570098877
2,11,,1.208503007888794
3,15,,0.6025199294090271
4,19,,0.9783252477645874
5,23,,0.9945079684257507
6,27,,0.6067283749580383
7,31,,0.4883101284503937
8,35,,0.4846157729625702
9,39,,0.44689908623695374
10,43,,0.4370460510253906
11,47,,0.4792437255382538
12,49,0.45672178268432617,
12,51,,0.4951184391975403
13,55,,0.4506094753742218
14,59,,0.37769433856010437
15,63,,0.35384851694107056
16,67,,0.3503921627998352
17,71,,0.3568094074726105
18,75,,0.3458917737007141
19,79,,0.3316294550895691
20,83,,0.32107099890708923
21,87,,0.31413137912750244
22,91,,0.3095185458660126
23,95,,0.3040536642074585
24,99,0.27686169743537903,
24,99,,0.30667465925216675
25,103,,0.3071650564670563
26,107,,0.3043684959411621
27,111,,0.30987125635147095
28,115,,0.31889408826828003
