epoch,step,train_loss,val_loss
0,15,,0.07004309445619583
1,31,,0.03751685097813606
2,47,,0.042521778494119644
3,49,0.04407825320959091,
3,63,,0.03577331453561783
4,79,,0.05017359182238579
5,95,,0.04226866737008095
6,99,0.03064914233982563,
6,111,,0.04136085882782936
7,127,,0.037258390337228775
8,143,,0.03415190428495407
9,149,0.020900005474686623,
9,159,,0.03394116461277008
10,175,,0.033230140805244446
11,191,,0.034167613834142685
12,199,0.02725113183259964,
12,207,,0.034442298114299774
13,223,,0.04757213592529297
14,239,,0.03901170194149017
15,249,0.04287993162870407,
15,255,,0.04364659637212753
