epoch,step,train_loss,val_loss
0,15,,0.03614549711346626
1,31,,0.027361493557691574
2,47,,0.0228728074580431
3,49,0.024907756596803665,
3,63,,0.01961073838174343
4,79,,0.01661963015794754
5,95,,0.015128467231988907
6,99,0.015489667654037476,
6,111,,0.015141963958740234
7,127,,0.013815153390169144
8,143,,0.013440483249723911
9,149,0.009590091183781624,
9,159,,0.01317867822945118
10,175,,0.012987377122044563
11,191,,0.013142810203135014
12,199,0.023286551237106323,
12,207,,0.013310310430824757
13,223,,0.012069572694599628
14,239,,0.012722830288112164
15,249,0.008370637893676758,
15,255,,0.013891814276576042
16,271,,0.020319439470767975
17,287,,0.012402608059346676
18,299,0.008338648825883865,
18,303,,0.011796538718044758
19,319,,0.011529727838933468
20,335,,0.011220032349228859
21,349,0.008292258717119694,
21,351,,0.010993825271725655
22,367,,0.011793328449130058
23,383,,0.01100330799818039
24,399,0.005582423880696297,
24,399,,0.010936577804386616
25,415,,0.010842325165867805
26,431,,0.012049558572471142
27,447,,0.011689336970448494
28,449,0.00765705993399024,
28,463,,0.012441516853868961
29,479,,0.010528904385864735
30,495,,0.010368016548454762
31,499,0.0123129328712821,
31,511,,0.011067804880440235
32,527,,0.01072034239768982
33,543,,0.0107160285115242
34,549,0.01443177368491888,
34,559,,0.012893270701169968
35,575,,0.012091328389942646
