epoch,step,train_loss,val_loss
0,48,,4269.70751953125
1,49,3761.68798828125,
1,97,,3721.155517578125
2,99,3640.75634765625,
2,146,,3099.85498046875
3,149,2560.68798828125,
3,195,,2460.8564453125
4,199,2902.557861328125,
4,244,,1863.5941162109375
5,249,2010.86083984375,
5,293,,1357.7491455078125
6,299,1723.357666015625,
6,342,,979.9303588867188
7,349,688.1497192382812,
7,391,,722.7022705078125
8,399,678.6749877929688,
8,440,,567.503662109375
9,449,520.4486694335938,
9,489,,486.046142578125
10,499,501.675537109375,
10,538,,448.9425354003906
11,549,495.7491455078125,
11,587,,432.8536682128906
12,599,285.826416015625,
12,636,,427.64825439453125
13,649,376.91180419921875,
13,685,,426.0077819824219
14,699,382.48944091796875,
14,734,,425.5187683105469
15,749,362.1044006347656,
15,783,,425.30999755859375
16,799,547.660400390625,
16,832,,425.28643798828125
17,849,488.3350830078125,
17,881,,425.1820068359375
18,899,273.4777526855469,
18,930,,425.17340087890625
19,949,236.2489013671875,
19,979,,425.1938781738281
20,999,406.6625671386719,
20,1028,,425.14923095703125
21,1049,389.2073669433594,
21,1077,,425.1068115234375
22,1099,391.1563720703125,
22,1126,,424.7957458496094
23,1149,261.1089172363281,
23,1175,,422.65545654296875
24,1199,333.9166564941406,
24,1224,,376.8547668457031
25,1249,437.72357177734375,
25,1273,,332.76800537109375
26,1299,253.31735229492188,
26,1322,,328.2717590332031
27,1349,303.1482238769531,
27,1371,,315.088134765625
28,1399,395.2432861328125,
28,1420,,322.3764953613281
29,1449,218.43685913085938,
29,1469,,299.8906555175781
30,1499,174.570068359375,
30,1518,,317.99676513671875
31,1549,301.592529296875,
31,1567,,302.8590393066406
32,1599,144.7855682373047,
32,1616,,291.7559509277344
33,1649,179.37496948242188,
33,1665,,305.08807373046875
34,1699,247.19955444335938,
34,1714,,295.4324645996094
35,1749,104.43354797363281,
35,1763,,305.1339111328125
36,1799,184.6805419921875,
36,1812,,303.0762023925781
37,1849,158.72030639648438,
37,1861,,297.5733642578125
