epoch,step,train_loss,val_loss
0,48,,4733.33642578125
1,49,4503.94873046875,
1,97,,4420.02978515625
2,99,4350.20263671875,
2,146,,4185.638671875
3,149,4426.5625,
3,195,,3974.650146484375
4,199,3651.55908203125,
4,244,,3778.502197265625
5,249,3897.37548828125,
5,293,,3594.3330078125
6,299,2769.000244140625,
6,342,,3419.759033203125
7,349,3105.625732421875,
7,391,,3253.347412109375
8,399,4046.26806640625,
8,440,,3094.791748046875
9,449,2914.553955078125,
9,489,,2943.6923828125
10,499,2892.82958984375,
10,538,,2799.84765625
11,549,1769.002685546875,
11,587,,2662.174072265625
12,599,3082.189697265625,
12,636,,2530.66259765625
13,649,2417.475341796875,
13,685,,2405.820068359375
14,699,1748.4453125,
14,734,,2286.630859375
15,749,2595.7041015625,
15,783,,2172.6875
16,799,2485.309814453125,
16,832,,2064.097900390625
17,849,1738.5458984375,
17,881,,1961.7176513671875
18,899,1530.9656982421875,
18,930,,1863.4111328125
19,949,1764.259033203125,
19,979,,1770.360595703125
20,999,1542.30615234375,
20,1028,,1681.5384521484375
21,1049,1678.7978515625,
21,1077,,1597.339111328125
22,1099,1223.7940673828125,
22,1126,,1517.9853515625
23,1149,1224.269287109375,
23,1175,,1442.3748779296875
24,1199,1677.029296875,
24,1224,,1371.2440185546875
25,1249,1301.45361328125,
25,1273,,1303.063720703125
26,1299,1241.200439453125,
26,1322,,1239.484619140625
27,1349,1228.4310302734375,
27,1371,,1178.7237548828125
28,1399,1331.85009765625,
28,1420,,1122.109130859375
29,1449,1120.20654296875,
29,1469,,1068.7239990234375
30,1499,730.05029296875,
30,1518,,1018.4954833984375
31,1549,911.539306640625,
31,1567,,971.0917358398438
32,1599,962.490234375,
32,1616,,927.080810546875
33,1649,869.2926025390625,
33,1665,,885.4083251953125
34,1699,722.1119384765625,
34,1714,,846.5205078125
35,1749,782.7819213867188,
35,1763,,810.4932250976562
36,1799,750.2850341796875,
36,1812,,776.6549072265625
37,1849,479.7672119140625,
37,1861,,745.286376953125
38,1899,957.77099609375,
38,1910,,716.1333618164062
39,1949,760.4034423828125,
39,1959,,689.4556274414062
40,1999,602.47900390625,
40,2008,,663.7005004882812
41,2049,777.5732421875,
41,2057,,640.6624145507812
42,2099,475.5657958984375,
42,2106,,619.4967041015625
43,2149,545.2294311523438,
43,2155,,600.0411987304688
44,2199,458.50457763671875,
44,2204,,582.40234375
45,2249,495.2980041503906,
45,2253,,565.5659790039062
46,2299,461.8800048828125,
46,2302,,550.6516723632812
47,2349,536.7344970703125,
47,2351,,536.638427734375
48,2399,626.03125,
48,2400,,524.4517822265625
49,2449,261.553466796875,
49,2449,,513.1168212890625
50,2498,,502.9746398925781
51,2499,319.32232666015625,
51,2547,,493.6108703613281
52,2549,380.820556640625,
52,2596,,485.5948791503906
53,2599,684.312744140625,
53,2645,,477.74908447265625
54,2649,338.75433349609375,
54,2694,,471.0712890625
55,2699,453.2061767578125,
55,2743,,465.0476379394531
56,2749,404.50653076171875,
56,2792,,459.8520202636719
57,2799,464.00726318359375,
57,2841,,455.11627197265625
58,2849,423.9166259765625,
58,2890,,450.8570556640625
59,2899,267.43212890625,
59,2939,,447.61663818359375
60,2949,570.8013916015625,
60,2988,,444.2622985839844
61,2999,567.49072265625,
61,3037,,441.4317932128906
62,3049,574.0730590820312,
62,3086,,439.0588073730469
63,3099,399.8392333984375,
63,3135,,436.9105529785156
64,3149,339.0035400390625,
64,3184,,435.1559143066406
65,3199,420.906982421875,
65,3233,,433.4522705078125
66,3249,335.8049011230469,
66,3282,,432.07244873046875
67,3299,525.8475341796875,
67,3331,,430.9319152832031
68,3349,379.7416076660156,
68,3380,,430.01373291015625
69,3399,358.01483154296875,
69,3429,,429.227294921875
70,3449,466.78814697265625,
70,3478,,428.5552673339844
71,3499,548.0686645507812,
71,3527,,427.96600341796875
72,3549,464.46197509765625,
72,3576,,427.4217224121094
73,3599,442.496826171875,
73,3625,,427.03338623046875
74,3649,400.19720458984375,
74,3674,,426.7687683105469
75,3699,360.8193664550781,
75,3723,,426.4534912109375
76,3749,228.10494995117188,
76,3772,,426.1985778808594
77,3799,391.2161865234375,
77,3821,,426.0185241699219
78,3849,370.5050048828125,
78,3870,,425.8559875488281
79,3899,511.8544006347656,
79,3919,,425.7419128417969
80,3949,541.6055297851562,
80,3968,,425.6347351074219
81,3999,428.20281982421875,
81,4017,,425.54876708984375
82,4049,511.2131042480469,
82,4066,,425.4969787597656
83,4099,437.2672424316406,
83,4115,,425.4395751953125
84,4149,252.25233459472656,
84,4164,,425.3746337890625
85,4199,323.3246765136719,
85,4213,,425.3498229980469
86,4249,451.45550537109375,
86,4262,,425.3291320800781
87,4299,362.42083740234375,
87,4311,,425.29864501953125
88,4349,376.52764892578125,
88,4360,,425.2846374511719
89,4399,324.9866027832031,
89,4409,,425.2725830078125
90,4449,333.29803466796875,
90,4458,,425.2506103515625
91,4499,483.27288818359375,
91,4507,,425.24237060546875
92,4549,500.17462158203125,
92,4556,,425.2378234863281
93,4599,384.8468017578125,
93,4605,,425.24884033203125
94,4649,289.9264221191406,
94,4654,,425.23370361328125
95,4699,652.395751953125,
95,4703,,425.2083740234375
96,4749,410.99932861328125,
96,4752,,425.2017517089844
97,4799,376.8656311035156,
97,4801,,425.210205078125
98,4849,340.52630615234375,
98,4850,,425.20245361328125
99,4899,811.3079833984375,
99,4899,,425.193115234375
