epoch,step,train_loss,val_loss
0,49,4940.0224609375,
0,50,,4173.85693359375
1,99,1501.35498046875,
1,101,,2098.577392578125
2,149,672.4747924804688,
2,152,,681.6280517578125
3,199,348.6683654785156,
3,203,,425.6793212890625
4,249,559.2720336914062,
4,254,,404.94384765625
5,299,499.3471374511719,
5,305,,391.2203063964844
6,349,245.707763671875,
6,356,,378.56121826171875
7,399,262.8345947265625,
7,407,,366.0457458496094
8,449,385.619384765625,
8,458,,355.0619201660156
9,499,402.2576904296875,
9,509,,343.7977294921875
10,549,234.24978637695312,
10,560,,333.3484802246094
11,599,280.4367370605469,
11,611,,322.8881530761719
12,649,384.692626953125,
12,662,,314.5892028808594
13,699,348.3695068359375,
13,713,,303.8697204589844
14,749,305.5210876464844,
14,764,,296.6160888671875
15,799,338.2748107910156,
15,815,,288.6609802246094
16,849,218.34970092773438,
16,866,,282.6925354003906
17,899,351.573974609375,
17,917,,274.5034484863281
18,949,276.1834716796875,
18,968,,269.2507629394531
19,999,278.396728515625,
19,1019,,266.3648681640625
20,1049,307.0581359863281,
20,1070,,262.4206848144531
21,1099,217.656005859375,
21,1121,,255.29652404785156
22,1149,244.6250457763672,
22,1172,,252.31915283203125
23,1199,249.74334716796875,
23,1223,,251.33250427246094
24,1249,246.80657958984375,
24,1274,,248.2744903564453
25,1299,309.8995666503906,
25,1325,,247.81240844726562
26,1349,265.8590393066406,
26,1376,,245.82290649414062
27,1399,274.07708740234375,
27,1427,,243.55929565429688
28,1449,384.16619873046875,
28,1478,,244.0730438232422
29,1499,226.64108276367188,
29,1529,,242.25323486328125
30,1549,283.8316650390625,
30,1580,,240.78697204589844
31,1599,262.57122802734375,
31,1631,,239.4453125
32,1649,320.7698669433594,
32,1682,,239.2851104736328
33,1699,225.33419799804688,
33,1733,,242.24024963378906
34,1749,210.6171112060547,
34,1784,,243.02294921875
35,1799,265.66949462890625,
35,1835,,240.9956817626953
36,1849,223.00457763671875,
36,1886,,240.23280334472656
37,1899,252.28921508789062,
37,1937,,239.33538818359375
