epoch,step,train_loss,val_loss
0,48,,5069.6484375
1,49,4929.70947265625,
1,97,,5000.5322265625
2,99,5353.04443359375,
2,146,,4863.99755859375
3,149,5286.50341796875,
3,195,,4663.462890625
4,199,4864.41845703125,
4,244,,4405.39697265625
5,249,4368.7353515625,
5,293,,4088.279052734375
6,299,4707.90576171875,
6,342,,3725.335693359375
7,349,4288.95703125,
7,391,,3335.71923828125
8,399,2963.63134765625,
8,440,,2939.001220703125
9,449,3231.885498046875,
9,489,,2542.501220703125
10,499,2440.770751953125,
10,538,,2161.93017578125
11,549,2660.263916015625,
11,587,,1808.3177490234375
12,599,2008.846435546875,
12,636,,1494.6650390625
13,649,1577.9749755859375,
13,685,,1224.617919921875
14,699,1176.058837890625,
14,734,,1001.9425659179688
15,749,1061.592041015625,
15,783,,823.9049072265625
16,799,765.5921630859375,
16,832,,687.5928344726562
17,849,590.3677368164062,
17,881,,589.7461547851562
18,899,512.24755859375,
18,930,,519.7883911132812
19,949,366.4478454589844,
19,979,,474.67926025390625
20,999,405.133544921875,
20,1028,,446.319580078125
21,1049,392.0926513671875,
21,1077,,428.8869323730469
22,1099,409.5155334472656,
22,1126,,419.81414794921875
23,1149,413.9560546875,
23,1175,,415.0250244140625
24,1199,336.4189453125,
24,1224,,412.72088623046875
25,1249,398.063720703125,
25,1273,,411.8327331542969
26,1299,607.7257080078125,
26,1322,,411.6650085449219
27,1349,366.56689453125,
27,1371,,411.7105712890625
28,1399,336.12042236328125,
28,1420,,411.9064025878906
29,1449,417.6720275878906,
29,1469,,412.1055908203125
30,1499,353.8931884765625,
30,1518,,411.9989013671875
31,1549,421.21234130859375,
31,1567,,412.29425048828125
