epoch,step,train_loss,val_loss
0,3,,5.235327243804932
1,7,,4.804268836975098
2,11,,4.390700340270996
3,15,,3.987565755844116
4,19,,3.5740294456481934
5,23,,3.1392486095428467
6,27,,2.695223093032837
7,31,,2.249619960784912
8,35,,1.818926453590393
9,39,,1.4231716394424438
10,43,,1.099606990814209
11,47,,0.8817673921585083
12,49,1.0455162525177002,
12,51,,0.7786650657653809
13,55,,0.774055540561676
14,59,,0.8112029433250427
15,63,,0.8427419662475586
16,67,,0.8445248007774353
17,71,,0.8264950513839722
18,75,,0.797828197479248
